Date,ClosePrice
2018-08-19,1196.29
2018-08-20,1188.07
2018-08-21,1183.89
2018-08-22,1182.42
2018-08-23,1178.5
2018-08-26,1175.72
2018-08-28,1177.09
2018-08-29,1172.3
2018-08-30,1181.69
2018-09-02,1190.28
2018-09-03,1206.26
2018-09-04,1210.24
2018-09-05,1234.13
2018-09-06,1229.77
2018-09-09,1218.98
2018-09-10,1210.88
2018-09-11,1217.65
2018-09-12,1230.71
2018-09-13,1244.84
2018-09-16,1256.53
2018-09-17,1256.4
2018-09-18,1258.81
2018-09-20,1255.07
2018-09-23,1257.68
2018-09-25,1280.05
2018-09-26,1277.74
2018-09-27,1267.18
2018-09-30,1256.71
2018-10-01,1238.67
2018-10-02,1241.36
2018-10-03,1230.6
2018-10-04,1227.37
2018-10-07,1214.36
2018-10-08,1220.52
2018-10-09,1217.93
2018-10-10,1218.33
2018-10-11,1228.28
2018-10-14,1242.43
2018-10-15,1241.63
2018-10-21,1246.52
2018-10-22,1244.54
2018-10-23,1241.84
2018-10-24,1249.93
2018-10-25,1241.11
2018-10-28,1227.49
2018-10-29,1216.93
2018-10-30,1224.36
2018-10-31,1221.46
2018-11-01,1220.98
2018-11-04,1207.28
2018-11-05,1219.2
2018-11-06,1222.53
2018-11-11,1205.79
2018-11-12,1193.34
2018-11-13,1207.57
2018-11-14,1208.89
2018-11-15,1205.02
2018-11-18,1195.45
2018-11-19,1190.2
2018-11-20,1181.75
2018-11-21,1182.74
2018-11-22,1181.24
2018-11-25,1166.63
2018-11-26,1159.82
2018-11-27,1161.49
2018-11-28,1159.08
2018-11-29,1148.36
2018-12-02,1130.89
2018-12-03,1131.73
2018-12-04,1131.73
2018-12-06,1120.84
2018-12-09,1131.7
2018-12-10,1144.19
2018-12-11,1141.1
2018-12-12,1141.18
2018-12-13,1148.78
2018-12-16,1167.67
2018-12-17,1182.78
2018-12-18,1168.17
2018-12-19,1162.7
2018-12-20,1165.97
2018-12-23,1198.18
2018-12-24,1191.74
2018-12-25,1186.03
2018-12-26,1216.27
2018-12-27,1215.16
2018-12-30,1204.54
2018-12-31,1187.28
2019-01-01,1185.91
2019-01-02,1180.43
2019-01-03,1178.87
2019-01-06,1170.79
2019-01-07,1177.46
2019-01-08,1177.07
2019-01-09,1179.36
2019-01-10,1180.84
2019-01-13,1175.05
2019-01-14,1178.03
2019-01-15,1195.54
2019-01-16,1187.97
2019-01-17,1187.77
2019-01-20,1179.17
2019-01-21,1168.06
2019-01-22,1168.83
2019-01-23,1172.98
2019-01-24,1172.78
2019-01-27,1162.09
2019-01-28,1164.89
2019-01-29,1160.99
2019-01-30,1160.59
2019-01-31,1161.63
2019-02-03,1153.06
2019-02-04,1144.27
2019-02-05,1147.1
2019-02-06,1139.72
2019-02-07,1139.57
2019-02-10,1127.53
2019-02-11,1128.86
2019-02-12,1128.19
2019-02-13,1121.08
2019-02-14,1112.87
2019-02-17,1109.72
2019-02-18,1102.51
2019-02-19,1124.96
2019-02-20,1112.23
2019-02-21,1113.07
2019-02-24,1102.32
2019-02-25,1109.73
2019-02-26,1102.56
2019-02-27,1105.53
2019-03-03,1100.58
2019-03-05,1102.64
2019-03-06,1111.76
2019-03-07,1127.77
2019-03-10,1128.65
2019-03-11,1142.93
2019-03-12,1163.26
2019-03-13,1150.1
2019-03-14,1155.46
2019-03-17,1161.45
2019-03-18,1153.98
2019-03-19,1147.15
2019-03-21,1140.6
2019-03-24,1134.8
2019-03-25,1138.67
2019-03-26,1140.72
2019-03-27,1142.61
2019-03-28,1144.53
2019-03-31,1143.59
2019-04-01,1149.99
